Date,Local Route,Light Rail,Peak Service,Rapid Route,School,Other
07/01/2021,8318,6099,149,10430,0,38
23/11/2020,12169,6935,234,13066,4429,45
20/01/2021,10775,5557,278,13546,0,46
30/11/2020,12851,7583,247,13798,4687,41
23/06/2023,13580,9657,290,15701,3794,70
22/02/2023,17698,11639,381,21325,5154,100
14/07/2021,14900,8802,273,15542,5224,59
08/12/2019,2747,4827,0,6353,0,0
25/12/2022,268,1026,0,555,0,0
30/01/2022,1852,2574,0,4106,0,44
08/03/2023,17243,11910,389,21503,5175,94
04/09/2020,12462,6712,135,12340,4974,72
14/08/2021,720,671,0,1207,0,13
29/05/2023,2369,3698,0,5494,0,17
